Name    Placement    Longitude   Latitude   Equipment
"Líščie údolie"   "OUTDOOR"    17.0546544  48.1622014   "{'vysoká hrazda': 5, 'nízka hrazda': 3, 'rebriny': 1, 'bradlá': 1}"
"FTVŠ UK - Lafranconi"   "OUTDOOR"    17.077091  48.1447422   "{'vysoká hrazda': 2, 'nízka hrazda': 3, 'bradlá': 2, 'rebriny': 1, 'kruhy': 1}"
"Kuchajda 1"   "OUTDOOR"    17.1448624  48.1703027   "{'vysoká hrazda': 6, 'rebriny': 2, 'bradlá': 1, 'nízka hrazda': 2, 'kruhy': 1}"
"Kuchajda 2"   "OUTDOOR"    17.1418503  48.171545   "{'rebriny': 1, 'bradlá': 1, 'nízka hrazda': 2}"
"Mladá Garda"   "OUTDOOR"    17.1260494  48.1775532   "{'vysoká hrazda': 6, 'rebriny': 1, 'bradlá': 1, 'nízke bradlá': 1}"
"Líščie údolie - osamelá hrazda"   "OUTDOOR"    17.0575511  48.161026   "{'hrazda': 1}"
"Mladosť - basketbalové koše"   "OUTDOOR"    17.065587  48.1586142   "{'hrazda': 2}"
"Draždiak - Locomotiva Street Workout park"   "OUTDOOR"    17.1121716  48.1064425   "{'vysoká hrazda': 8, 'nízka hrazda': 2, 'bradlá': 2, 'nízke bradlá': 1, 'rebriny': 1,  'kruhy': 1}"
"ZŠ Tbiliská - Rača"   "OUTDOOR"    17.1614814  48.2150295   "{'hrazda': 6, 'nízka hrazda': 2, 'bradlá': 2, 'rebriny': 2}"
"Ľudovíta Fullu - Karlova Ves"   "OUTDOOR"    17.0512909  48.1547314   "{'hrazda': 2, 'bradlá': 1, 'kruhy': 1}"
"No Will No Skill Academy"   "INDOOR"    17.1301317  48.1415708   "{'hrazda': 8, 'kruhy': 6, 'rebriny': 2, 'bradlá': 1}"
"Skill Lab"   "INDOOR"    17.1198454  48.1149851   "{'rebriny': 4, 'bradlá': 1, 'hrazda': 4, 'kruhy': 3}"
"Crossfit Proton"   "INDOOR"    17.1547651  48.1738418   "{'hrazda': 15, 'kruhy': 10, 'bradlá': 2}"
